"ClientNo","Title","Surname","FName","IDNumber","SA","Nationality"
1,"Mr","Ferreira","Guiseppe","3712183567065",0,"Portugese"
2,"Mrs","Honeywell","Lucy","5907234676012",1,"SA"
3,"Ms","Mendes","Isaac","6708139075176",1,"SA"
4,"Mr","Khoza","Bantu","7706161545342",1,"SA"
5,"Mrs","Freulich","Ina","8107166893475",0,"German"
6,"Mr","Kowalski","Joachim","7407189162348",0,"Polish"
7,"Ms","Krzyaikis","Stavro","7305172654765",0,"Greek"
8,"Ms","Von Braun","Gertrude","5608237896212",0,"German"
9,"Mr","Fouche","Jean-Claude","7805263478653",0,"French"
10,"Ms","Baker","Jean","5612130067143",0,"English"
11,"Mr","Griffiths","Daffyd","2311078237876",0,"Welsh"
12,"Mrs","Van Rheede","Roxanne","6312054763457",0,"Dutch"
13,"Ms","Nguni","Priscilla","7609248768934",1,"SA"
14,"Mr","Yamimoto","Ishiguru","7907186427868",0,"Japanese"
15,"Mr","Saint-Ypres","Yves","6610278547278",0,"French"
16,"Mr","Smythe","Andrew","7410287656786",0,"English"
17,"Mr","Johnstone","Paul","8002027876086",0,"English"
18,"Ms","Rodriguez","Laura","8211263788743",0,"Spanish"
19,"Mr","Bekker","Hendrik","5607187367892",1,"SA"
20,"Ms","Kowalski","Nikitha","8012230067083",0,"Polish"
21,"Mr","Bekker","Boris","7710145678083",0,"German"
